i,n,r,rnew,rto,censusregions,st,in,country
1,p2,nr11,nr1new,rto1,PA,WA,WSCC,USA
2,p1,nr11,nr1new,rto1,PA,WA,WSCC,USA
3,p1,nr11,nr1new,rto1,PA,WA,WSCC,USA
4,p1,nr11,nr1new,rto1,PA,WA,WSCC,USA
5,p2,nr11,nr1new,rto1,PA,WA,WSCC,USA
6,p3,nr11,nr1new,rto1,PA,WA,WSCC,USA
7,p4,nr11,nr1new,rto1,PA,WA,WSCC,USA
8,p3,nr11,nr1new,rto1,PA,WA,WSCC,USA
9,p2,nr11,nr1new,rto1,PA,WA,WSCC,USA
10,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA
11,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA
12,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA
13,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA
14,p6,nr11,nr1new,rto1,PA,OR,WSCC,USA
15,p6,nr11,nr1new,rto1,PA,OR,WSCC,USA
16,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA
17,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA
18,p7,nr11,nr1new,rto1,PA,OR,WSCC,USA
19,p7,nr11,nr1new,rto1,PA,OR,WSCC,USA
20,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA
21,p8,nr13,nr1new,rto2,PA,CA,WSCC,USA
22,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA
23,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA
24,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA
25,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA
26,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA
27,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA
28,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA
29,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA
30,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA
31,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA
32,p11,nr13,nr5new,rto4,PA,CA,WSCC,USA
33,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA
34,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA
35,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA
36,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA
37,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA
38,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA
39,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA
40,p13,nr12,nr7new,rto3,MTN,NV,WSCC,USA
41,p14,nr11,nr1new,rto1,MTN,ID,WSCC,USA
42,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA
43,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA
44,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA
45,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA
46,p16,nr11,nr2new,rto1,MTN,ID,WSCC,USA
47,p16,nr11,nr2new,rto1,MTN,ID,WSCC,USA
48,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA
49,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA
50,p26,nr11,nr2new,rto2,MTN,UT,WSCC,USA
51,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA
52,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA
53,p27,nr12,nr7new,rto3,MTN,AZ,WSCC,USA
54,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA
55,p29,nr12,nr7new,rto3,MTN,AZ,WSCC,USA
56,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA
57,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA
58,p30,nr12,nr7new,rto3,MTN,AZ,WSCC,USA
59,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA
60,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA
61,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA
62,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA
63,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA
64,p18,nr11,nr1new,rto2,MTN,MT,WSCC,USA
65,p18,nr11,nr1new,rto2,MTN,MT,WSCC,USA
66,p20,nr11,nr1new,rto2,MTN,MT,WSCC,USA
67,p18,nr11,nr1new,rto2,MTN,MT,WSCC,USA
68,p19,nr11,nr9new,rto2,MTN,MT,WSCC,USA
69,p20,nr11,nr1new,rto2,MTN,MT,WSCC,USA
70,p21,nr11,nr2new,rto2,MTN,WY,WSCC,USA
71,p21,nr11,nr2new,rto2,MTN,WY,WSCC,USA
72,p22,nr11,nr3new,rto2,MTN,WY,WSCC,USA
73,p23,nr11,nr3new,rto5,MTN,WY,WSCC,USA
74,p24,nr11,nr3new,rto5,MTN,WY,WSCC,USA
75,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA
76,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA
77,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA
78,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA
79,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA
80,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA
81,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA
82,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA
83,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA
84,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA
85,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA
86,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA
87,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA
88,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA
89,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA
90,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA
91,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA
92,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA
93,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA
